2026-08-30 00:26:06,896 | INFO | src.config | Loaded the yaml file from /Users/nikhilnarsipalli/Documents/UNIVERSITY/Projects/MLOps /2nd day project/configs/config.yaml
2026-08-30 00:26:06,896 | INFO | src.config | Created config class for DatasetConfig
2026-08-30 00:26:06,896 | INFO | src.config | Created config class for ModelConfig
2026-08-30 00:26:06,896 | INFO | src.config | Created config class for TrainingConfig
2026-08-30 00:26:06,896 | INFO | src.config | Created config class for UnitTest
2026-08-30 00:26:06,897 | INFO | src.config | Created config class for DataPath
2026-08-30 00:26:07,274 | INFO | __main__ | Starting data processing script
2026-08-30 00:26:07,274 | INFO | __main__ | Starting data processing pipeline
2026-08-30 00:26:07,274 | INFO | __main__ | Loading the data from /Users/nikhilnarsipalli/Documents/UNIVERSITY/Projects/MLOps /2nd day project/data/raw_data/WA_Fn-UseC_-Telco-Customer-Churn.csv
2026-08-30 00:26:07,293 | INFO | __main__ | Data loaded successfully from /Users/nikhilnarsipalli/Documents/UNIVERSITY/Projects/MLOps /2nd day project/data/raw_data/WA_Fn-UseC_-Telco-Customer-Churn.csv
2026-08-30 00:26:07,293 | INFO | __main__ | Data shape: 7043Rows, 21 Columns
2026-08-30 00:26:07,293 | INFO | __main__ | Validating the columns of the dataset
2026-08-30 00:26:07,293 | INFO | __main__ | Validation Complete - Columns in the dataset are as expected
2026-08-30 00:26:07,293 | INFO | __main__ | Cleaning the data by removing leading and trailing spaces from column names
2026-08-30 00:26:07,322 | WARNING | __main__ | Missing values detected: {'TotalCharges': 11}
2026-08-30 00:26:07,322 | INFO | __main__ | Data cleaning completed. Final shape: (7043, 21)
2026-08-30 00:26:07,322 | INFO | __main__ | Saving cleaned dataset to: /Users/nikhilnarsipalli/Documents/UNIVERSITY/Projects/MLOps /2nd day project/data/processed_data/cleaned_data.csv
2026-08-30 00:26:07,349 | INFO | __main__ | Cleaned dataset saved successfully. Shape: (7043, 21)
2026-08-30 00:26:07,349 | INFO | __main__ | Data processing pipeline completed successfully
2026-08-30 00:26:07,350 | INFO | __main__ | Data processing script completed successfully
